id_registro,id_objeto,fuente,institucion,imagen_local,titulo_original,titulo_es_sugerido,descripcion_oficial,cultura,periodo,fecha_objeto,procedencia,tipo_objeto,tipo_superficie,corpus_analisis,motivo_superficie,material,material_normalizado,tecnica,colores,color_dominante,contraste,densidad_visual,motivos,familia_iconografica,simetria,composicion,descripcion,licencia,estado_metadata,estado_anotacion,observaciones,decision_filtro,puntaje_filtro,motivo_filtrado,fecha_descarga,fecha_anotacion,posible_duplicado_suave,motivo_corpus_secundario,origen_curacion,destino_curacion_final,clasificacion_original,nombre_objeto_original,material_original,url_objeto,url_imagen,categoria_revision_v2,motivo_revision_v2,decision_sugerida,decision_auditoria,motivo_auditoria,observacion_auditoria,decision_curacion_final,motivo_curacion_final
MET-312677,312677,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_aceptados_preliminar/met_textil_312677.jpg,Feathered panel,Panel textil,"Título oficial: Feathered panel. Cultura registrada: Wari. Fecha del objeto: 650–1000 CE. Material registrado: Feathers, cotton, camelid fiber. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 29 × W. 83 7/8 in. (73.66 × 213.04 cm).",Wari,,650–1000 CE,Peru; South Coast,panel_textil,materialidad_plumas,corpus_secundario_featherwork,"superficie amplia o composición visual útil detectada: ['panel', 'featherwork']","Feathers, cotton, camelid fiber",algodón; fibra de camélido; fibra textil; plumas,trabajo con plumas,,,,,,,,,"Título oficial: Feathered panel. Cultura registrada: Wari. Fecha del objeto: 650–1000 CE. Material registrado: Feathers, cotton, camelid fiber. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 29 × W. 83 7/8 in. (73.66 × 213.04 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,11.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid', 'fiber'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2026-06-15,,False,materialidad de plumas / featherwork separada del corpus principal inicial,corpus_complementario_preliminar,corpus_secundario,,,,https://www.metmuseum.org/art/collection/search/312677,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-008.jpg,,,,,,,,
MET-307977,307977,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_aceptados_preliminar/met_textil_307977.jpg,Feathered Tunic,Túnica textil,"Título oficial: Feathered Tunic. Cultura registrada: Chimú. Fecha del objeto: 1200 – 1400 CE. Material registrado: Cotton, feathers. Clasificación museográfica: Feathers-Costumes. Dimensiones: W. 30 x H. 35 in. (76.2 x 88.9 cm).",Chimú,,1200 – 1400 CE,Peru,tunica,materialidad_plumas,corpus_secundario_featherwork,superficie amplia o composición visual útil detectada: ['tunic'],"Cotton, feathers",algodón; plumas,trabajo con plumas,,,,,,,,,"Título oficial: Feathered Tunic. Cultura registrada: Chimú. Fecha del objeto: 1200 – 1400 CE. Material registrado: Cotton, feathers. Clasificación museográfica: Feathers-Costumes. Dimensiones: W. 30 x H. 35 in. (76.2 x 88.9 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,12.0,"nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'chimú', 'chimu']",2026-06-15,,True,materialidad de plumas / featherwork separada del corpus principal inicial,corpus_complementario_preliminar,corpus_secundario,,,,https://www.metmuseum.org/art/collection/search/307977,https://images.metmuseum.org/CRDImages/ao/original/DP158699.jpg,,,,,,,,
MET-312676,312676,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_aceptados_preliminar/met_textil_312676.jpg,Feathered Panel,Panel textil,"Título oficial: Feathered Panel. Cultura registrada: Wari. Fecha del objeto: 600–900 CE. Material registrado: Feathers, cotton, camelid hair. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 27 1/2 x W. 83 1/2 x D. 3 1/4 in. (69.9 x 212.1 x 8.3 cm).",Wari,,600–900 CE,Peru; South Coast,panel_textil,materialidad_plumas,corpus_secundario_featherwork,"superficie amplia o composición visual útil detectada: ['panel', 'featherwork']","Feathers, cotton, camelid hair",algodón; fibra de camélido; plumas,trabajo con plumas,,,,,,,,,"Título oficial: Feathered Panel. Cultura registrada: Wari. Fecha del objeto: 600–900 CE. Material registrado: Feathers, cotton, camelid hair. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 27 1/2 x W. 83 1/2 x D. 3 1/4 in. (69.9 x 212.1 x 8.3 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,11.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2026-06-15,,False,materialidad de plumas / featherwork separada del corpus principal inicial,corpus_complementario_preliminar,corpus_secundario,,,,https://www.metmuseum.org/art/collection/search/312676,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-005.jpg,,,,,,,,
MET-312683,312683,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_aceptados_preliminar/met_textil_312683.jpg,Feathered Panel,Panel textil,"Título oficial: Feathered Panel. Cultura registrada: Wari. Fecha del objeto: 600–900 CE. Material registrado: Feathers on cotton, camelid hair. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 29 × W. 84 in. (73.66 × 213.36 cm).",Wari,,600–900 CE,Peru; South Coast,panel_textil,materialidad_plumas,corpus_secundario_featherwork,"superficie amplia o composición visual útil detectada: ['panel', 'featherwork']","Feathers on cotton, camelid hair",algodón; fibra de camélido; plumas,trabajo con plumas,,,,,,,,,"Título oficial: Feathered Panel. Cultura registrada: Wari. Fecha del objeto: 600–900 CE. Material registrado: Feathers on cotton, camelid hair. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 29 × W. 84 in. (73.66 × 213.36 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,11.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2026-06-15,,True,materialidad de plumas / featherwork separada del corpus principal inicial,corpus_complementario_preliminar,corpus_secundario,,,,https://www.metmuseum.org/art/collection/search/312683,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-009.jpg,,,,,,,,
MET-312678,312678,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_aceptados_preliminar/met_textil_312678.jpg,Feathered Panel,Panel textil,"Título oficial: Feathered Panel. Cultura registrada: Wari. Fecha del objeto: 600–900 CE. Material registrado: Feathers on cotton, camelid hair. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 33 1/8 × W. 87 1/2 in. (84.14 × 222.25 cm).",Wari,,600–900 CE,Peru; South Coast,panel_textil,materialidad_plumas,corpus_secundario_featherwork,"superficie amplia o composición visual útil detectada: ['panel', 'featherwork']","Feathers on cotton, camelid hair",algodón; fibra de camélido; plumas,trabajo con plumas,,,,,,,,,"Título oficial: Feathered Panel. Cultura registrada: Wari. Fecha del objeto: 600–900 CE. Material registrado: Feathers on cotton, camelid hair. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 33 1/8 × W. 87 1/2 in. (84.14 × 222.25 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,11.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2026-06-15,,True,materialidad de plumas / featherwork separada del corpus principal inicial,corpus_complementario_preliminar,corpus_secundario,,,,https://www.metmuseum.org/art/collection/search/312678,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-013.jpg,,,,,,,,
MET-312680,312680,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_aceptados_preliminar/met_textil_312680.jpg,Feathered Panel,Panel textil,"Título oficial: Feathered Panel. Cultura registrada: Wari. Fecha del objeto: 600–900 CE. Material registrado: Feathers on cotton, camelid hair. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 29 1/4 × W. 83 5/8 in. (74.3 × 212.41 cm).",Wari,,600–900 CE,Peru; South Coast,panel_textil,materialidad_plumas,corpus_secundario_featherwork,"superficie amplia o composición visual útil detectada: ['panel', 'featherwork']","Feathers on cotton, camelid hair",algodón; fibra de camélido; plumas,trabajo con plumas,,,,,,,,,"Título oficial: Feathered Panel. Cultura registrada: Wari. Fecha del objeto: 600–900 CE. Material registrado: Feathers on cotton, camelid hair. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 29 1/4 × W. 83 5/8 in. (74.3 × 212.41 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,11.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2026-06-15,,True,materialidad de plumas / featherwork separada del corpus principal inicial,corpus_complementario_preliminar,corpus_secundario,,,,https://www.metmuseum.org/art/collection/search/312680,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-006.jpg,,,,,,,,
MET-312681,312681,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_aceptados_preliminar/met_textil_312681.jpg,Feathered Panel,Panel textil,"Título oficial: Feathered Panel. Cultura registrada: Wari. Fecha del objeto: 600–900 CE. Material registrado: Feathers on cotton, camelid hair. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 28 3/4 × W. 83 1/2 in. (73.03 × 212.09 cm).",Wari,,600–900 CE,Peru; South Coast,panel_textil,materialidad_plumas,corpus_secundario_featherwork,"superficie amplia o composición visual útil detectada: ['panel', 'featherwork']","Feathers on cotton, camelid hair",algodón; fibra de camélido; plumas,trabajo con plumas,,,,,,,,,"Título oficial: Feathered Panel. Cultura registrada: Wari. Fecha del objeto: 600–900 CE. Material registrado: Feathers on cotton, camelid hair. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 28 3/4 × W. 83 1/2 in. (73.03 × 212.09 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,11.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2026-06-15,,True,materialidad de plumas / featherwork separada del corpus principal inicial,corpus_complementario_preliminar,corpus_secundario,,,,https://www.metmuseum.org/art/collection/search/312681,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-007.jpg,,,,,,,,
MET-312679,312679,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_aceptados_preliminar/met_textil_312679.jpg,Feathered Panel,Panel textil,"Título oficial: Feathered Panel. Cultura registrada: Wari. Fecha del objeto: 600–900 CE. Material registrado: Feathers on cotton, camelid hair. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 31 1/2 x W. 85 1/4 in. (80 x 216.5 cm).",Wari,,600–900 CE,Peru; South Coast,panel_textil,materialidad_plumas,corpus_secundario_featherwork,"superficie amplia o composición visual útil detectada: ['panel', 'featherwork']","Feathers on cotton, camelid hair",algodón; fibra de camélido; plumas,trabajo con plumas,,,,,,,,,"Título oficial: Feathered Panel. Cultura registrada: Wari. Fecha del objeto: 600–900 CE. Material registrado: Feathers on cotton, camelid hair. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 31 1/2 x W. 85 1/4 in. (80 x 216.5 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,11.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2026-06-15,,True,materialidad de plumas / featherwork separada del corpus principal inicial,corpus_complementario_preliminar,corpus_secundario,,,,https://www.metmuseum.org/art/collection/search/312679,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-012.jpg,,,,,,,,
MET-312674,312674,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_aceptados_preliminar/met_textil_312674.jpg,Feathered Panel,Panel textil,"Título oficial: Feathered Panel. Cultura registrada: Wari. Fecha del objeto: 600–900 CE. Material registrado: Feathers on cotton, camelid fiber. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 33 3/4 × W. 6 in. (85.73 × 218.44 cm).",Wari,,600–900 CE,Peru; South Coast,panel_textil,materialidad_plumas,corpus_secundario_featherwork,"superficie amplia o composición visual útil detectada: ['panel', 'featherwork']","Feathers on cotton, camelid fiber",algodón; fibra de camélido; fibra textil; plumas,trabajo con plumas,,,,,,,,,"Título oficial: Feathered Panel. Cultura registrada: Wari. Fecha del objeto: 600–900 CE. Material registrado: Feathers on cotton, camelid fiber. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 33 3/4 × W. 6 in. (85.73 × 218.44 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,11.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid', 'fiber'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2026-06-15,,False,materialidad de plumas / featherwork separada del corpus principal inicial,corpus_complementario_preliminar,corpus_secundario,,,,https://www.metmuseum.org/art/collection/search/312674,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-011.jpg,,,,,,,,
MET-312682,312682,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_aceptados_preliminar/met_textil_312682.jpg,Feathered Panel,Panel textil,"Título oficial: Feathered Panel. Cultura registrada: Wari. Fecha del objeto: 600–900 CE. Material registrado: Feathers on cotton, camelid hair. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 28 1/2 × W. 83 1/4 in. (72.39 × 211.46 cm).",Wari,,600–900 CE,Peru; South Coast,panel_textil,materialidad_plumas,corpus_secundario_featherwork,"superficie amplia o composición visual útil detectada: ['panel', 'featherwork']","Feathers on cotton, camelid hair",algodón; fibra de camélido; plumas,trabajo con plumas,,,,,,,,,"Título oficial: Feathered Panel. Cultura registrada: Wari. Fecha del objeto: 600–900 CE. Material registrado: Feathers on cotton, camelid hair. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 28 1/2 × W. 83 1/4 in. (72.39 × 211.46 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,11.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2026-06-15,,True,materialidad de plumas / featherwork separada del corpus principal inicial,corpus_complementario_preliminar,corpus_secundario,,,,https://www.metmuseum.org/art/collection/search/312682,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-010.jpg,,,,,,,,
